T_final,replication,n_train,n_test,c0_death,epsilon_selection,stage,n_admissible_treatments,percentage
7,5,2000,1000,-12.0,0.3,0,9,1.6
7,5,2000,1000,-12.0,0.3,0,10,8.4
7,5,2000,1000,-12.0,0.3,1,2,6.2
7,5,2000,1000,-12.0,0.3,1,3,21.9
7,5,2000,1000,-12.0,0.3,1,4,23.3
7,5,2000,1000,-12.0,0.3,1,5,11.0
7,5,2000,1000,-12.0,0.3,1,6,6.2
7,5,2000,1000,-12.0,0.3,1,7,4.6
7,5,2000,1000,-12.0,0.3,1,8,3.4
7,5,2000,1000,-12.0,0.3,1,9,0.8
7,5,2000,1000,-12.0,0.3,1,10,22.6
7,5,2000,1000,-12.0,0.3,2,1,0.5
7,5,2000,1000,-12.0,0.3,2,2,18.8
7,5,2000,1000,-12.0,0.3,2,3,21.5
7,5,2000,1000,-12.0,0.3,2,4,13.8
7,5,2000,1000,-12.0,0.3,2,5,8.1
7,5,2000,1000,-12.0,0.3,2,6,5.6
7,5,2000,1000,-12.0,0.3,2,7,3.2
7,5,2000,1000,-12.0,0.3,2,8,2.2
7,5,2000,1000,-12.0,0.3,2,9,1.5
7,5,2000,1000,-12.0,0.3,2,10,24.8
7,5,2000,1000,-12.0,0.3,3,1,10.5
7,5,2000,1000,-12.0,0.3,3,2,14.7
7,5,2000,1000,-12.0,0.3,3,3,11.4
7,5,2000,1000,-12.0,0.3,3,4,7.8
7,5,2000,1000,-12.0,0.3,3,5,6.7
7,5,2000,1000,-12.0,0.3,3,6,4.4
7,5,2000,1000,-12.0,0.3,3,7,3.3
7,5,2000,1000,-12.0,0.3,3,8,1.9
7,5,2000,1000,-12.0,0.3,3,9,1.3
7,5,2000,1000,-12.0,0.3,3,10,38.0
7,5,2000,1000,-12.0,0.3,4,1,16.8
7,5,2000,1000,-12.0,0.3,4,2,14.3
7,5,2000,1000,-12.0,0.3,4,3,13.6
7,5,2000,1000,-12.0,0.3,4,4,7.9
7,5,2000,1000,-12.0,0.3,4,5,5.5
7,5,2000,1000,-12.0,0.3,4,6,3.1
7,5,2000,1000,-12.0,0.3,4,7,1.5
7,5,2000,1000,-12.0,0.3,4,8,1.5
7,5,2000,1000,-12.0,0.3,4,9,0.6
7,5,2000,1000,-12.0,0.3,4,10,35.2
7,5,2000,1000,-12.0,0.3,5,1,19.6
7,5,2000,1000,-12.0,0.3,5,2,15.0
7,5,2000,1000,-12.0,0.3,5,3,13.3
7,5,2000,1000,-12.0,0.3,5,4,8.2
7,5,2000,1000,-12.0,0.3,5,5,5.9
7,5,2000,1000,-12.0,0.3,5,6,2.8
7,5,2000,1000,-12.0,0.3,5,7,1.3
7,5,2000,1000,-12.0,0.3,5,8,0.9
7,5,2000,1000,-12.0,0.3,5,9,0.3
7,5,2000,1000,-12.0,0.3,5,10,32.7
7,5,2000,1000,-12.0,0.3,6,1,25.8
7,5,2000,1000,-12.0,0.3,6,2,20.9
7,5,2000,1000,-12.0,0.3,6,3,12.9
7,5,2000,1000,-12.0,0.3,6,4,8.4
7,5,2000,1000,-12.0,0.3,6,5,3.6
7,5,2000,1000,-12.0,0.3,6,6,2.0
7,5,2000,1000,-12.0,0.3,6,7,2.1
7,5,2000,1000,-12.0,0.3,6,8,0.5
7,5,2000,1000,-12.0,0.3,6,9,0.3
7,5,2000,1000,-12.0,0.3,6,10,23.5
7,6,2000,1000,-12.0,0.3,0,2,10.5
7,6,2000,1000,-12.0,0.3,0,3,48.8
7,6,2000,1000,-12.0,0.3,0,4,12.8
7,6,2000,1000,-12.0,0.3,0,5,4.3
7,6,2000,1000,-12.0,0.3,0,6,5.4
7,6,2000,1000,-12.0,0.3,0,7,5.6
7,6,2000,1000,-12.0,0.3,0,8,4.0
7,6,2000,1000,-12.0,0.3,0,9,2.6
7,6,2000,1000,-12.0,0.3,0,10,6.0
7,6,2000,1000,-12.0,0.3,1,2,7.8
7,6,2000,1000,-12.0,0.3,1,3,14.6
7,6,2000,1000,-12.0,0.3,1,4,10.4
7,6,2000,1000,-12.0,0.3,1,5,7.8
7,6,2000,1000,-12.0,0.3,1,6,6.9
7,6,2000,1000,-12.0,0.3,1,7,3.5
7,6,2000,1000,-12.0,0.3,1,8,3.9
7,6,2000,1000,-12.0,0.3,1,9,1.0
7,6,2000,1000,-12.0,0.3,1,10,44.1
7,6,2000,1000,-12.0,0.3,2,1,2.4
7,6,2000,1000,-12.0,0.3,2,2,17.3
7,6,2000,1000,-12.0,0.3,2,3,26.2
7,6,2000,1000,-12.0,0.3,2,4,12.5
7,6,2000,1000,-12.0,0.3,2,5,7.2
7,6,2000,1000,-12.0,0.3,2,6,3.9
7,6,2000,1000,-12.0,0.3,2,7,2.2
7,6,2000,1000,-12.0,0.3,2,8,2.7
7,6,2000,1000,-12.0,0.3,2,9,0.4
7,6,2000,1000,-12.0,0.3,2,10,25.2
7,6,2000,1000,-12.0,0.3,3,1,5.8
7,6,2000,1000,-12.0,0.3,3,2,14.0
7,6,2000,1000,-12.0,0.3,3,3,13.2
7,6,2000,1000,-12.0,0.3,3,4,10.8
7,6,2000,1000,-12.0,0.3,3,5,6.0
7,6,2000,1000,-12.0,0.3,3,6,5.3
7,6,2000,1000,-12.0,0.3,3,7,2.2
7,6,2000,1000,-12.0,0.3,3,8,2.3
7,6,2000,1000,-12.0,0.3,3,9,1.9
7,6,2000,1000,-12.0,0.3,3,10,38.5
7,6,2000,1000,-12.0,0.3,4,1,13.1
7,6,2000,1000,-12.0,0.3,4,2,14.1
7,6,2000,1000,-12.0,0.3,4,3,14.1
7,6,2000,1000,-12.0,0.3,4,4,8.6
7,6,2000,1000,-12.0,0.3,4,5,5.2
7,6,2000,1000,-12.0,0.3,4,6,3.9
7,6,2000,1000,-12.0,0.3,4,7,1.9
7,6,2000,1000,-12.0,0.3,4,8,1.9
7,6,2000,1000,-12.0,0.3,4,9,1.4
7,6,2000,1000,-12.0,0.3,4,10,35.8
7,6,2000,1000,-12.0,0.3,5,1,16.6
7,6,2000,1000,-12.0,0.3,5,2,11.8
7,6,2000,1000,-12.0,0.3,5,3,10.4
7,6,2000,1000,-12.0,0.3,5,4,9.4
7,6,2000,1000,-12.0,0.3,5,5,6.9
7,6,2000,1000,-12.0,0.3,5,6,4.2
7,6,2000,1000,-12.0,0.3,5,7,2.9
